state_code,state_name,population,year,unemployed,employed,med_hr_wage
48,Texas,18502334,2018,533876.5833333334,13314203.333333334,17.84
48,Texas,18502334,2019,495634.8888888889,13541403.666666666,NA
49,Utah,2087341,2018,48978.083333333336,1523158.25,17.69
49,Utah,2087341,2019,45675.88888888889,1550931.5555555555,NA
50,Vermont,500274,2018,9222.5,336838,19.1
50,Vermont,500274,2019,7932.333333333333,338545.3333333333,NA
51,Virginia,6213686,2018,128579.08333333333,4202801.25,19.63
51,Virginia,6213686,2019,126190.66666666667,4274307.333333333,NA
53,Washington,5355539,2018,170796.25,3622299.25,22.17
53,Washington,5355539,2019,180821.33333333334,3713165.6666666665,NA
54,West Virginia,1431158,2018,41165.416666666664,742179.4166666666,15.69
54,West Virginia,1431158,2019,38921.333333333336,756592.2222222222,NA
55,Wisconsin,4401754,2018,93999.41666666667,3039294.6666666665,18.25
55,Wisconsin,4401754,2019,99807.22222222222,3025128.5555555555,NA
56,Wyoming,433644,2018,11753.75,277820.3333333333,19.34
56,Wyoming,433644,2019,10669.777777777777,278712,NA
72,Puerto Rico,2561292,2018,99534.91666666667,984557.75,10.01
72,Puerto Rico,2561292,2019,87128.11111111111,991341.6666666666,NA
